input,target,metadata
"What did the United States Coast Guard investigation conclude in its report about the June 18, 2023 Titan submersible implosion?","The United States Coast Guard investigation concluded that the implosion was preventable, and that the primary cause had been ""OceanGate’s failure to follow established engineering protocols for safety, testing, and maintenance of their submersible."" The report also noted that ""For several years preceding the incident, OceanGate leveraged intimidation tactics, allowances for scientific operations, and the company’s favorable reputation to evade regulatory scrutiny."".",{'revision_id': 1307925982}
"How did OceanGate describe Titan's design collaboration on its website in 2023, and how did earlier associates respond after the disappearance of Titan?","OceanGate claimed on its website as of 2023 that Titan was ""designed and engineered by OceanGate Inc. in collaboration experts from NASA, Boeing, and the University of Washington"" (UW). After the disappearance of Titan in 2023, these earlier associates disclaimed involvement with the Titan project. UW claimed the APL had no involvement in the ""design, engineering, or testing of the Titan submersible"". A Boeing spokesperson also claimed Boeing ""was not a partner on Titan and did not design or build it"". A NASA spokesperson said that NASA's Marshall Space Flight Center had a Space Act Agreement with OceanGate, but ""did not conduct testing and manufacturing via its workforce or facilities"".",{'revision_id': 1307925982}
What did Stockton Rush say about safety in his 2022 interview that was quoted in coverage of the Titan submersible?,"""At some point, safety just is pure waste. I mean, if you just want to be safe, don't get out of bed. Don't get in your car. Don't do anything."".",{'revision_id': 1307925982}
"Why was Titan not subject to safety regulations, and what was its certification status?","Because Titan operated in international waters and did not carry passengers from a port, it was not subject to safety regulations. The vessel was not certified as seaworthy by any regulatory agency or third-party organization.",{'revision_id': 1307925982}
What did David Pogue and television producer Mike Reiss say about the waiver signed by Titan passengers?,"David Pogue, who completed the expedition in 2022 as part of a CBS News Sunday Morning feature, said that all passengers who enter Titan sign a waiver confirming their knowledge that it is an ""experimental"" vessel ""that has not been approved or certified by any regulatory body, and could result in physical injury, disability, emotional trauma or death"". Television producer Mike Reiss, who also completed the expedition, said the waiver ""mention death three times on page one"".",{'revision_id': 1307925982}
How did OceanGate describe Titan's real-time monitoring system (RTM) and who patented it?,"OceanGate claimed that Titan was the only crewed submersible that used an integrated real-time monitoring system (RTM) for safety. The proprietary system, patented by Rush in 2021, used acoustic sensors and strain gauges at the pressure boundary to analyse the effects of increasing pressure as the watercraft ventured deeper into the ocean and to monitor the hull's integrity in real time.",{'revision_id': 1307925982}
"What safety concerns did David Lochridge raise in 2018 about Titan's viewport, certification, and RTM?","Lochridge said that he had urged the company to have Titan assessed and certified by the American Bureau of Shipping, but OceanGate had refused to do so, instead seeking classification from Lloyd's Register. He also said that the transparent viewport on its forward end, due to its nonstandard and therefore experimental design, was only certified to a depth of 1,300 m (4,300 ft), only a third of the depth required to reach the Titanic's wreck. According to Lochridge, RTM would ""only show when a component is about to fail – often milliseconds before an implosion"" and could not detect existing flaws in the hull before it was too late.",{'revision_id': 1307925982}
How did OceanGate respond legally after David Lochridge raised concerns and what was the ultimate outcome?,"OceanGate said that Lochridge, who was not an engineer, had refused to accept safety approvals from OceanGate's engineering team and that the company's evaluation of Titan's hull was stronger than any kind of third-party evaluation Lochridge thought necessary. OceanGate sued Lochridge for allegedly breaching his confidentiality contract and making fraudulent statements. Lochridge counter-sued, stating that his employment had been wrongfully terminated as a whistleblower for stating concerns about Titan's ability to operate safely. The two parties settled the case a few months later, before it came to court.",{'revision_id': 1307925982}
What concerns did the group organized by William Kohnen express to Stockton Rush in 2018 about the Titan development?,"A group organized by William Kohnen, the chair of the Submarine Group of the Marine Technology Society, drafted a letter to Rush expressing ""unanimous concern regarding the development of 'TITAN' and the planned Titanic Expedition"", indicating that the ""current experimental approach   could result in negative outcomes (from minor to catastrophic) that would have serious consequences for everyone in the industry"". The letter said that OceanGate's marketing of the Titan was misleading because it claimed that the submersible would meet or exceed the safety standards of classification society DNV, even though the company had no plans to have the craft certified formally by the society.",{'revision_id': 1307925982}
What warning did Boeing engineer Mark Negley send to Stockton Rush in March 2018 about the Titan hull?,"In March 2018, one of Boeing's engineers involved in the preliminary designs, Mark Negley, carried out an analysis of the hull and emailed Rush directly stating, ""We think you are at high risk of a significant failure at or before you reach 4,000 meters. We do not think you have any safety margin."" He included a graph of the strain of the design with a skull and crossbones at a red line of 4,000 meters.",{'revision_id': 1307925982}
"How did Rob McCallum warn Stockton Rush about Titan in 2018, and what was OceanGate's response?","Rob McCallum, a major deep sea exploration specialist, emailed Rush to warn him he was potentially risking his clients' safety and advised against the submersible's use for commercial purposes until it had been tested independently and classified: ""I implore you to take every care in your testing and sea trials and to be very, very conservative."" Rush replied that he was ""tired of industry players who try to use a safety argument to stop innovation   We have heard the baseless cries of 'you are going to kill someone' way too often. I take this as a serious personal insult"". McCallum then sent Rush another email in which he said: ""I think you are potentially placing yourself and your clients in a dangerous dynamic. In your race to Titanic you are mirroring that famous catch cry: 'She is unsinkable'"". This prompted OceanGate's lawyers to threaten McCallum with legal action.",{'revision_id': 1307925982}
Why was Ross Kemp's planned 2022 documentary dive to the Titanic using Titan cancelled?,"In 2022, the British actor and television presenter Ross Kemp   had planned to mark the 110th anniversary of the sinking of the Titanic by recording a documentary in which he would undertake a dive to the wreck using Titan. Kemp's agent Jonathan Shalit said that the project was cancelled after checks by production company Atlantic Productions deemed the submersible to be unsafe and not ""fit for purpose"".",{'revision_id': 1307925982}
"What occurred to Titan's previous hulls and scale models during testing prior to 2021, and what did Stockton Rush instruct regarding domes in 2021?","In 2021, a new hull was constructed after a previous hull had cracked after 50 submersion dives, only three of which were to 4,000 m. Scale models of the new hull imploded when tested at the UW lab, so a different method of curing the hull was developed and passed a full-sized pressure test at a facility in Maryland. Rush refused to construct new domes and their interface rings, instead instructing engineers to salvage and reuse those parts from the previous hull.",{'revision_id': 1307925982}
"What did data and subsequent investigations find about the ""loud acoustic event"" Titan experienced on 15 July 2022 (dive 80)?","On 15 July 2022 (dive 80), Titan experienced a ""loud acoustic event"" as it was ascending, which was heard by the passengers aboard and picked up by Titan's real-time monitoring system (RTM). Data from Titan's strain gauges later revealed that the hull's strain response had permanently shifted following this event. The US Coast Guard investigation found that the loud acoustic event was the carbon fibre delaminating; the BBC described every dive after this one as ""a disaster waiting to happen"".",{'revision_id': 1307925982}
What were the final communications and sounds received from Titan on 18 June 2023 before contact was lost?,"A final text communication was sent from Titan at 10:47:27 a.m., at an approximate depth of 3,341 metres (10,961 ft) which read ""dropped two wts"". The final ""ping"" (data) from Titan was received at 10:47:33 a.m. NDT (13:17:33 UTC), at depth of 3,346 metres (10,978 ft). Before this final text was received, a loud bang was heard by people monitoring the submersible on the support ship. It transpired that this bang was the implosion of the submersible, the sound from which travelled faster than the message.",{'revision_id': 1307925982}
What did a U.S. Navy acoustic detection system record on 18 June 2023 near the time Titan lost communications?,"A U.S. Navy acoustic detection system designed to locate military submarines detected an acoustic signal consistent with an implosion at 11:04 a.m. (13:34 UTC), less than two hours after Titan submerged.",{'revision_id': 1307925982}
Had OceanGate informed any government agency that Titan was diving on 18 June 2023?,OceanGate had not informed any government agency that they were diving.,{'revision_id': 1307925982}
