input,target,metadata
"What specific concerns did media outlets, sporting experts, and human rights groups raise after FIFA decided to host the 2022 World Cup in Qatar?","Some media outlets, sporting experts, and human rights groups have criticised Qatar's record of human rights violations; Qatar's limited football history; the high expected cost; the local climate; and alleged bribery in the bidding process.",{'revision_id': 1295361445}
Which aspects of human rights criticism focused on Qatar and what accusation did this lead to regarding the 2022 World Cup?,"Criticism of human rights in Qatar focused on the treatment of migrant workers, women, and position on LGBT rights, leading to allegations of sportswashing.",{'revision_id': 1295361445}
What did former FIFA President Sepp Blatter say about awarding the 2022 World Cup to Qatar?,"Former FIFA President Sepp Blatter has twice said that giving Qatar hosting rights was a ""mistake"".",{'revision_id': 1295361445}
What scrutiny arose concerning match attendance figures during the 2022 World Cup in Qatar?,Match attendance figures have also come under scrutiny as reported crowd attendances have exceeded stadium capacities despite games having visible empty seats.,{'revision_id': 1295361445}
What did The Guardian report on 23 October 2022 regarding the World Cup infrastructure workers?,The Guardian reported it all in its article published on 23 October 2022. The article included statements from workers involved in building infrastructure for the World Cup 2022.,{'revision_id': 1295361445}
"What did a survey of 1,000 low-wage workers find about labor reforms in Qatar?","A survey among 1,000 low-wage workers found that 86% of respondents felt that the labor reforms had positively affected their lives.",{'revision_id': 1295361445}
What legislation changes were introduced in Qatar related to workers ahead of the 2022 World Cup?,"Legislation has also been introduced to the minimum wage, on protecting outdoor workers during the summer months, and on the election of migrant worker representatives within companies.",{'revision_id': 1295361445}
What effect did the change to the kafala system reportedly have on workers in Qatar?,Change to the kafala system has led to labor mobility.,{'revision_id': 1295361445}
What did the United Nations report quoted Sharan Burrow as saying on 17 October 2019 about Qatar's kafala system?,"Another report by the United Nations claimed that “Qatar is changing. The new kafala system tranche of law will bring an end to kafala and put in place a modern industrial relations system” said Sharan Burrow, General Secretary of the International Trade Union Confederation. This was published on October 17, 2019, before the world cup took place.",{'revision_id': 1295361445}
How did incumbent FIFA President Gianni Infantino respond to criticism of Qatar hosting the 2022 World Cup?,Incumbent FIFA President Gianni Infantino has defended the hosting of the tournament in Qatar.,{'revision_id': 1295361445}
