input,target,metadata
What was controversial about how Cambridge Analytica collected personal data from Facebook users?,"In the 2010s, personal data belonging to millions of Facebook users was collected by British consulting firm Cambridge Analytica for political advertising without informed consent.",{'revision_id': 1308580773}
Through what application did Cambridge Analytica acquire Facebook user data?,"The data was collected through an app called ""This Is Your Digital Life"", developed by data scientist Aleksandr Kogan and his company Global Science Research in 2013.",{'revision_id': 1308580773}
Which 2016 U.S. presidential campaigns did Cambridge Analytica assist using the harvested data?,Cambridge Analytica used the data to analytically assist the 2016 presidential campaigns of Ted Cruz and Donald Trump.,{'revision_id': 1308580773}
What was the official finding regarding Cambridge Analytica's alleged involvement in the Brexit referendum?,"Cambridge Analytica was also widely accused of interfering with the Brexit referendum, although the official investigation recognised that the company was not involved ""beyond some initial enquiries"" and that ""no significant breaches"" took place.",{'revision_id': 1308580773}
Who disclosed information about the data misuse in March 2018 and through which outlets?,"In interviews with The Guardian and The New York Times, information about the data misuse was disclosed in March 2018 by Christopher Wylie, a former Cambridge Analytica employee.",{'revision_id': 1308580773}
How did Facebook respond publicly when the data misuse was revealed?,"In response, Facebook apologized for their role in the data harvesting and their CEO Mark Zuckerberg testified in April 2018 in front of Congress.",{'revision_id': 1308580773}
What major fine did the Federal Trade Commission announce for Facebook related to privacy violations?,"In July 2019, it was announced that Facebook was to be fined $5 billion by the Federal Trade Commission due to its privacy violations.",{'revision_id': 1308580773}
What fine did Facebook agree to pay the UK Information Commissioner's Office over the scandal?,"In October 2019, Facebook agreed to pay a £500,000 fine to the UK Information Commissioner's Office for exposing the data of its users to a ""serious risk of harm"".",{'revision_id': 1308580773}
What happened to Cambridge Analytica in May 2018?,"In May 2018, Cambridge Analytica filed for Chapter 7 bankruptcy.",{'revision_id': 1308580773}
How did some defenders contextualize Cambridge Analytica's techniques relative to other advertisers and Facebook itself?,Other advertising agencies have been implementing various forms of psychological targeting for years and Facebook had patented a similar technology in 2012.,{'revision_id': 1308580773}
What argument was made about the broader impact of Cambridge Analytica's methods and clients?,"Nevertheless, Cambridge Analytica's methods and their high-profile clients — including the Trump presidential campaign and the UK's Leave.EU campaign — brought the problems of psychological targeting that scholars have been warning against to public awareness.",{'revision_id': 1308580773}
What public reaction did the scandal spark regarding privacy and social media's political influence?,The scandal sparked an increased public interest in privacy and social media's influence on politics.,{'revision_id': 1308580773}
Which online movement trended in response to the privacy revelations?,The online movement #DeleteFacebook trended on Twitter.,{'revision_id': 1308580773}
How did Cambridge Analytica initially obtain friends' data through the app's consent process?,"Cambridge Analytica then arranged an informed consent process for research in which several hundred thousand Facebook users would agree to complete a survey for payment that was only for academic use. However, Facebook allowed this app not only to collect personal information from survey respondents but also from respondents’ Facebook friends.",{'revision_id': 1308580773}
When was the collection of personal data by Cambridge Analytica first reported and by whom?,"The collection of personal data by Cambridge Analytica was first reported in December 2015 by Harry Davies, a journalist for The Guardian.",{'revision_id': 1308580773}
What did PolitiFact report about payments from Trump's campaign to Cambridge Analytica?,"According to PolitiFact, in his 2016 presidential campaign, Trump paid Cambridge Analytica in September, October, and November for data on Americans and their political preferences.",{'revision_id': 1308580773}
How did Aleksandr Kogan's name change contribute to public intrigue?,"Kogan's name change to Aleksandr Spectre, which resulted in the ominous ""Dr. Spectre"", added to the intrigue and popular appeal of the story.",{'revision_id': 1308580773}
What immediate financial impact did the revelations have on Facebook's market value?,More than $100 billion was knocked off Facebook's market capitalization in days and politicians in the US and UK demanded answers from Facebook CEO Mark Zuckerberg.,{'revision_id': 1308580773}
How did PolitiFact distinguish Cambridge Analytica's practices from the Obama 2012 campaign's use of data?,"Meghan McCain drew an equivalence between the use of data by Cambridge Analytica and Barack Obama's 2012 presidential campaign; PolitiFact, however, alleged that this data was not used in an unethical way, since Obama's campaign used this data to ""have their supporters contact their most persuadable friends"" rather than using this data for highly targeted digital ads on websites such as Facebook.",{'revision_id': 1308580773}
What conflicting estimates were reported about the size of the harvested Facebook data-set?,"Wired, The New York Times, and The Observer reported that the data-set had included information on 50 million Facebook users. While Cambridge Analytica claimed it had only collected 30 million Facebook user profiles, Facebook later confirmed that it actually had data on potentially over 87 million users, with 70.6 million of those people from the United States.",{'revision_id': 1308580773}
What types of user information did Facebook tell affected users were likely taken?,"Facebook sent a message to those users believed to be affected, saying the information likely included one's ""public profile, page likes, birthday and current city"".",{'revision_id': 1308580773}
How detailed was the data in terms of enabling political persuasion?,The data was detailed enough for Cambridge Analytica to create psychographic profiles of the subjects of the data.,{'revision_id': 1308580773}
How much did Ted Cruz reportedly pay Cambridge Analytica for services in 2016 according to the Federal Election Commission?,The Federal Election Commission reported that Cruz paid the company $5.8 million in services.,{'revision_id': 1308580773}
How did the Trump campaign reportedly use the harvested data to influence voters?,"Donald Trump's 2016 presidential campaign used the harvested data to build psychographic profiles, determining users' personality traits based on their Facebook activity.",{'revision_id': 1308580773}
What did Cambridge Analytica's CEO say was the key strategy in their political targeting approach?,"As described by Cambridge Analytica's CEO, the key was to identify those who might be enticed to vote for their client or be discouraged to vote for their opponent.",{'revision_id': 1308580773}
"What controversial campaign did Cambridge Analytica design in Trinidad and Tobago, and what was its alleged effect?","In 2010, Cambridge Analytica designed a campaign called Do So, aimed at trying to increase abstention among young people of African descent. The Do So campaign had a significant impact on reducing voter turnout among young people of African descent, which contributed to the UNC's electoral victory in 2010.",{'revision_id': 1308580773}
What was claimed about Cambridge Analytica's ties to Russian company Lukoil?,Nix stated he had no connections to the two companies despite concerns that the oil company was interested in how the company's data was used to target American voters. It was later confirmed by Christopher Wylie that Lukoil was interested in the company's data regarding political targeting.,{'revision_id': 1308580773}
"What internal communications and claims linked Cambridge Analytica to Leave.EU, and what did the UK Information Commissioner conclude?","Brittany Kaiser declared that the datasets that Leave.EU used to create databases were provided by Cambridge Analytica. These datasets composed of the data obtained from Facebook were said to be work done as an initial job deliverable for them. The official investigation by the UK Information Commissioner found that Cambridge Analytica was not involved ""beyond some initial enquiries"" and the regulator did not identify any ""significant breaches"" of data protection legislation or privacy or marketing regulations ""which met the threshold for formal regulatory action"".",{'revision_id': 1308580773}
How did some Facebook officials defend the collection of data from the personality quiz users?,"Other Facebook officials argued against calling it a ""data breach,"" arguing those who took the personality quiz originally consented to give away their information.",{'revision_id': 1308580773}
How did Mark Zuckerberg publicly describe the Cambridge Analytica situation when first apologizing?,"Facebook CEO Mark Zuckerberg first apologized for the situation with Cambridge Analytica on CNN, calling it an ""issue"", a ""mistake"" and a ""breach of trust"".",{'revision_id': 1308580773}
What action did Facebook take regarding GDPR after the scandal?,"In April, Facebook decided to implement the EU's General Data Protection Regulation in all areas of operation and not just the EU.",{'revision_id': 1308580773}
How did Amazon respond when it learned about Cambridge Analytica's use of Amazon Web Services?,Amazon said that they suspended Cambridge Analytica from using their Amazon Web Services when they learned in 2015 that their service was collecting personal information.,{'revision_id': 1308580773}
"What fine did the UK's Information Commissioner's Office intend to levy against Facebook, and for what reason?","In early July 2018, the United Kingdom's Information Commissioner's Office announced it intended to fine Facebook £500,000 ($663,000) over the data breach, this being the maximum fine allowed at the time of the breach, saying Facebook ""contravened the law by failing to safeguard people's information"".",{'revision_id': 1308580773}
What did a March 2019 court filing allege about when Facebook knew of Cambridge Analytica's practices?,"In March 2019, a court filing by the U.S. Attorney General for the District of Columbia alleged that Facebook knew of Cambridge Analytica's ""improper data-gathering practices"" months before they were first publicly reported in December 2015.",{'revision_id': 1308580773}
What restrictions and obligations were imposed on Alexander Nix and Aleksandr Kogan following the FTC action?,Both defendants agreed to administrative orders that restrict their future business dealings and to destroy both any collected personal data and any work product made from the data.,{'revision_id': 1308580773}
What consequence did Facebook experience in user engagement metrics after the scandal?,"Since April 2018, the first full month since the breaking of the Cambridge Analytica data breach, the number of likes, posts and shares on the site had decreased by almost 20%, and has decreased ever since, with the aforementioned activity only momentarily increasing during the summer and during the 2018 US midterm elections.",{'revision_id': 1308580773}
How did the scandal affect Facebook's stock shortly after publication?,"On March 26, 2018, a little after a week after the story was initially published, Facebook stock fell by about 24%, equivalent to $134 billion.",{'revision_id': 1308580773}
How did public calls to delete Facebook manifest on social media after the revelations?,"The hashtag was tweeted almost 400,000 times on Twitter within a 30-day period after news of the data breach.",{'revision_id': 1308580773}
What did a Raymond James survey find about users' stated concern versus their intended behavior?,"However, a survey by investment firm Raymond James found that although approximately 84% of Facebook users were concerned about how the app used their data, about 48% of those surveyed claimed they wouldn't actually cut back on their usage of the social media network.",{'revision_id': 1308580773}
What did Christopher Wylie say about Cambridge Analytica's culture and his reason for whistleblowing?,"He was considered a witness to both British and American authorities, and he claims he decided to whistle-blow to ""protect democratic institutions from rogue actors and hostile foreign interference, as well as ensure the safety of Americans online."" He claimed that at Cambridge Analytica ""anything goes"" and that Cambridge Analytica was ""a corrupting force in the world."" He detailed to Congress how Cambridge Analytica used Facebook's data to categorize people into groups based on political ideology.",{'revision_id': 1308580773}
What criticisms did Eitan Hersh offer about the effectiveness of Cambridge Analytica's psychographic profiling?,"Hersh claimed that the voter targeting by Cambridge Analytica did not excessively affect the outcome of the 2016 election because the techniques used by Cambridge Analytica were similar to those of presidential campaigns well before 2016. Further, he claimed that the correlation between user ""likes"" and personality traits were weak and thus the psychological profiling of users were also weak.",{'revision_id': 1308580773}
What did David Carroll and others allege about Emerdata's acquisition of SCL assets after Cambridge Analytica's downfall?,"David Carroll, an American professor who sued Cambridge, stated that Emerdata was aiming to conceal the scandals and minimize further criticism. Carroll's lawyers argued that Cambridge's court administrators were acting unlawfully by liquidating the company's assets prior to a full investigation being performed.",{'revision_id': 1308580773}
How did NPR later characterize Facebook's accountability and reform outcomes related to the Cambridge Analytica scandal?,"In October 2021, following Facebook employee Frances Haugen whistleblowing Facebook activities, NPR revisited the Cambridge Analytica data scandal by observing that Facebook neither took responsibility for their behavior there nor did consumers get any benefit of reform as a result.",{'revision_id': 1308580773}
What settlements did Facebook/Meta agree to as part of resolving litigation related to Cambridge Analytica?,"In August 2022, Facebook agreed to settle a lawsuit seeking damages in the case for an undisclosed sum. In December 2022, Meta Platforms agreed to pay $725 million to settle a private class-action lawsuit related to the improper user data sharing with Cambridge Analytica and other third-party companies.",{'revision_id': 1308580773}
