input,target,metadata
"In the 2010s, what controversial action did Cambridge Analytica take involving Facebook user data?","In the 2010s, personal data belonging to millions of Facebook users was collected by British consulting firm Cambridge Analytica for political advertising without informed consent.",{'revision_id': 1309441776}
Which app and developer were responsible for collecting Facebook user data in 2013 that Cambridge Analytica used?,"The data was collected through an app called ""This Is Your Digital Life"", developed by data scientist Aleksandr Kogan and his company Global Science Research in 2013.",{'revision_id': 1309441776}
"How did the ""This Is Your Digital Life"" app build profiles and gather additional Facebook information?","The app consisted of a series of questions to build psychological profiles on users, and collected the personal data of the users' Facebook friends via Facebook's Open Graph platform.",{'revision_id': 1309441776}
What was the largest number of Facebook profiles reportedly harvested by the app tied to Cambridge Analytica?,The app harvested the data of up to 87 million Facebook profiles.,{'revision_id': 1309441776}
Which 2016 presidential campaigns did Cambridge Analytica analytically assist using the harvested data?,Cambridge Analytica used the data to analytically assist the 2016 presidential campaigns of Ted Cruz and Donald Trump.,{'revision_id': 1309441776}
What did the official investigation conclude about Cambridge Analytica's involvement in the Brexit referendum?,"Cambridge Analytica was also widely accused of interfering with the Brexit referendum, although the official investigation recognised that the company was not involved ""beyond some initial enquiries"" and that ""no significant breaches"" took place.",{'revision_id': 1309441776}
Who disclosed the information about the Cambridge Analytica data misuse in March 2018 and in interviews with which publications?,"In interviews with The Guardian and The New York Times, information about the data misuse was disclosed in March 2018 by Christopher Wylie, a former Cambridge Analytica employee.",{'revision_id': 1309441776}
How did Facebook and its CEO respond publicly after the Cambridge Analytica revelations?,"In response, Facebook apologized for their role in the data harvesting and their CEO Mark Zuckerberg testified in April 2018 in front of Congress.",{'revision_id': 1309441776}
What fine did the Federal Trade Commission announce against Facebook in July 2019 related to privacy violations?,"In July 2019, it was announced that Facebook was to be fined $5 billion by the Federal Trade Commission due to its privacy violations.",{'revision_id': 1309441776}
What penalty did the UK Information Commissioner's Office impose on Facebook in October 2019 over the Cambridge Analytica incident?,"In October 2019, Facebook agreed to pay a £500,000 fine to the UK Information Commissioner's Office for exposing the data of its users to a ""serious risk of harm"".",{'revision_id': 1309441776}
What corporate action did Cambridge Analytica take in May 2018 following the scandal?,"In May 2018, Cambridge Analytica filed for Chapter 7 bankruptcy.",{'revision_id': 1309441776}
What broader advertising practice and prior Facebook development did the article note in relation to Cambridge Analytica's methods?,Other advertising agencies have been implementing various forms of psychological targeting for years and Facebook had patented a similar technology in 2012.,{'revision_id': 1309441776}
Which high-profile clients of Cambridge Analytica were noted as bringing psychological targeting problems to public awareness?,"Nevertheless, Cambridge Analytica's methods and their high-profile clients—including the Trump presidential campaign and the UK's Leave.EU campaign—brought the problems of psychological targeting that scholars have been warning against to public awareness.",{'revision_id': 1309441776}
What online movement trended on Twitter in reaction to the Cambridge Analytica scandal?,The online movement #DeleteFacebook trended on Twitter.,{'revision_id': 1309441776}
"Who at the University of Cambridge was hired to develop the ""This Is Your Digital Life"" app and by which company?","Aleksandr Kogan, a data scientist at the University of Cambridge, was hired by Cambridge Analytica, an offshoot of SCL Group, to develop an app called ""This Is Your Digital Life"" (sometimes stylized as ""thisisyourdigitallife"").",{'revision_id': 1309441776}
How did Cambridge Analytica present the consent process for the survey used to gather Facebook data?,Cambridge Analytica then arranged an informed consent process for research in which several hundred thousand Facebook users would agree to complete a survey for payment that was only for academic use.,{'revision_id': 1309441776}
What feature of Facebook did the platform allow that enabled the app to collect data beyond survey respondents?,"However, Facebook allowed this app not only to collect personal information from survey respondents but also from respondents' Facebook friends.",{'revision_id': 1309441776}
Who first reported the collection of personal data by Cambridge Analytica and when?,"The collection of personal data by Cambridge Analytica was first reported in December 2015 by Harry Davies, a journalist for The Guardian.",{'revision_id': 1309441776}
What did Harry Davies report about Cambridge Analytica's activities in December 2015?,He reported that Cambridge Analytica was working for United States Senator Ted Cruz using data harvested from millions of people's Facebook accounts without their consent.,{'revision_id': 1309441776}
When did the Guardian and the New York Times publish simultaneous articles that escalated the Cambridge Analytica story?,"The Guardian and The New York Times published articles simultaneously on March 17, 2018.",{'revision_id': 1309441776}
What immediate financial impact did the March 2018 media coverage have on Facebook's market capitalization?,More than $100 billion was knocked off Facebook's market capitalization in days and politicians in the US and UK demanded answers from Facebook CEO Mark Zuckerberg.,{'revision_id': 1309441776}
How did PolitiFact contrast Cambridge Analytica's data use with Barack Obama's 2012 campaign?,"Meghan McCain drew an equivalence between the use of data by Cambridge Analytica and Barack Obama's 2012 presidential campaign; PolitiFact, however, alleged that this data was not used in an unethical way, since Obama's campaign used this data to ""have their supporters contact their most persuadable friends"" rather than using this data for highly targeted digital ads on websites such as Facebook.",{'revision_id': 1309441776}
Which outlets reported that the Cambridge Analytica data-set included information on 50 million Facebook users?,"Wired, The New York Times, and The Observer reported that the data-set had included information on 50 million Facebook users.",{'revision_id': 1309441776}
What differing numbers did Cambridge Analytica and Facebook provide about the number of Facebook profiles collected?,"While Cambridge Analytica claimed it had only collected 30 million Facebook user profiles, Facebook later confirmed that it actually had data on potentially over 87 million users, with 70.6 million of those people from the United States.",{'revision_id': 1309441776}
