input,target,metadata
Who invoked the Emergencies Act and what powers did the Act give police in response to the Freedom Convoy?,"On February 14, Trudeau invoked the Emergencies Act. The Act gave police extraordinary powers to ""end border blockades and the occupation of downtown Ottawa by so-called 'Freedom Convoy' protesters."".",{'revision_id': 1306144758}
What legal claim did the Canadian Civil Liberties Association make when it announced its lawsuit over the invocation of the Emergencies Act?,"The Canadian Civil Liberties Association (CCLA) announced it was suing the federal government over the Act's invocation, stating that the Emergencies Act must be reserved for national emergencies, which they argued was a ""legal standard that has not been met."" The CCLA criticized the invocation of the Act in a press release, saying, ""The federal government has not met the threshold necessary to invoke the Emergencies Act. This law creates a high and clear standard for good reason: the Act allows government to bypass ordinary democratic processes. This standard has not been met."".",{'revision_id': 1306144758}
What did Federal Court Judge Richard Mosley rule about the use of the Emergencies Act?,"On January 23, 2024, Judge Richard Mosley of the Federal Court ruled that while the protest itself ""reflected an unacceptable breakdown of public order,"" the use of the Emergencies Act was unreasonable, ultra vires, and had violated Section 2(b) and Section 8 of the Charter of Rights and Freedoms. The court found that orders made under the act were ""overbroad"" infringing on the freedom of expression of protesters who did not intend to breach the peace, and that freezing of bank accounts and collecting of financial information from banks had amounted to unreasonable search and seizure.",{'revision_id': 1306144758}
How did Ottawa Police Service chief Peter Sloly describe American involvement in the convoys?,"Ottawa's police chief, Peter Sloly, described a ""significant element"" of American involvement in the organization and funding of the convoys.",{'revision_id': 1306144758}
How did Mark Carney characterize foreign donors to the convoy protests?,"Mark Carney, former Governor of the Bank of Canada and future prime minister, strongly criticized the foreign involvement in ""the sedition in Ottawa,"" describing donors as ""foreign funders of an insurrection"" who had ""interfered in our domestic affairs."".",{'revision_id': 1306144758}
Who were listed as organizers on the convoy's initial GoFundMe fundraiser and what were their affiliations?,"Listed as organizers were Tamara Lich, secretary of the western separatist Maverick Party, and B. J. Dichter, a 2015 federal Conservative Party candidate now associated with the People's Party of Canada.",{'revision_id': 1306144758}
How much money had the convoy's GoFundMe raised by January 25?,The convoy's GoFundMe raised over CA$5 million by January 25.,{'revision_id': 1306144758}
Why did GoFundMe permanently remove the original convoy fundraising campaign?,"On the evening of February 4, GoFundMe removed the campaign permanently for violating their terms of service, specifically, ""because the protest violates its rules on violence and harassment."".",{'revision_id': 1306144758}
How much fundraising did the GiveSendGo convoy fundraiser attract and what legal action did Ontario take regarding those funds?,"A convoy fundraiser on the fundraising website GiveSendGo, launched after the GoFundMe removal, attracted over $8.2 million as of February 10. The Attorney General of Ontario sought and was granted an Ontario Superior Court of Justice court order under Section 490.8 of the Criminal Code of Canada against GiveSendGo, to freeze the funds collected from two campaigns, ""Freedom Convoy 2022""—US$8.4 million and ""Adopt-a-Trucker""—over $686,000, and prohibit their distribution.",{'revision_id': 1306144758}
What happened to bank accounts linked to the protests after the Emergencies Act was invoked?,"By February 19, at least 76 bank accounts linked to the protests totalling CA$3.2 million were frozen under the Emergencies Act. Most accounts had been unfrozen by February 23.",{'revision_id': 1306144758}
