input,target,metadata
What controversies did the decision of FIFA to host the 2022 FIFA World Cup in Qatar spark?,The decision of FIFA to host the 2022 FIFA World Cup in Qatar sparked a number of concerns and controversies regarding both Qatar's suitability as a host country and the fairness of the FIFA World Cup bidding process.,{'revision_id': 1335848654}
What human rights criticisms focused on Qatar in relation to the 2022 FIFA World Cup?,"Criticism of human rights in Qatar focused on the treatment of migrant workers, women, and position on LGBT rights, leading to allegations of sportswashing.",{'revision_id': 1335848654}
What actions and statements occurred around boycotts and Sepp Blatter regarding the 2022 FIFA World Cup in Qatar?,"Boycotts of the event were declared by several countries, clubs, and individual players, while former FIFA President Sepp Blatter has twice said that giving Qatar hosting rights was a ""mistake"".",{'revision_id': 1335848654}
What scrutiny arose concerning match attendance figures at the 2022 FIFA World Cup in Qatar?,Match attendance figures have also come under scrutiny as reported crowd attendances have exceeded stadium capacities despite games having visible empty seats.,{'revision_id': 1335848654}
"What did a survey among 1,000 low-wage workers find about Qatar's labour reforms before the 2022 World Cup?","A survey among 1,000 low-wage workers found that 86% of respondents felt that the labour reforms had positively affected their lives.",{'revision_id': 1335848654}
What change regarding worker rights and employer incentives was reported in Qatar before the 2022 World Cup?,"Now workers can negotiate for better conditions, and employers are incentivised to provide them in order to attract and retain talent.",{'revision_id': 1335848654}
What impact did change to the kafala system reportedly have in Qatar prior to the 2022 World Cup?,Change to the kafala system has led to labour mobility.,{'revision_id': 1335848654}
"What did Sharan Burrow of the International Trade Union Confederation say on October 17, 2019 about Qatar's kafala reform?","“Qatar is changing. The new kafala system tranche of law will bring an end to kafala and put in place a modern industrial relations system” said Sharan Burrow, General Secretary of the International Trade Union Confederation.",{'revision_id': 1335848654}
What is the legal status of LGBTQ rights and homosexuality in Qatar by Islamic sharia law in the run-up to the 2022 World Cup?,"Due to Islamic sharia law, there are no LGBTQ rights in Qatar, with homosexuality, as well as campaigning for LGBTQ rights, criminalised.",{'revision_id': 1335848654}
What did FIFA tell European teams about wearing rainbow-coloured armbands on the day of the first match involving one of those teams in the 2022 World Cup?,"Typically, kit violations incur a fine, which the teams had said they would pay; on the day of the first match involving one of the European teams, FIFA told the teams that they would receive a yellow card as a minimum.",{'revision_id': 1335848654}
