input,target,metadata
What did NSO Group Technologies Limited say about its founders and what spyware was it primarily known for as of 2017?,"NSO Group Technologies Limited (NSO standing for Niv, Shalev, and Omri, the names of the company's founders) is an Israeli cyber-intelligence firm primarily known for its proprietary spyware Pegasus, which is capable of remote zero-click surveillance of smartphones. It employed almost 500 people as of 2017.",{'revision_id': 1337168060}
What did NSO claim about its clients and how did Israel classify Pegasus in terms of export control?,NSO claims that it provides authorized governments with technology that helps them combat terror and crime. The company says that it deals with government clients only. Pegasus spyware is classified as a weapon by Israel and any export of the technology must be approved by the government.,{'revision_id': 1337168060}
"Which controversial uses of NSO Group spyware were reported, including state espionage and a role in an assassination, according to several reports?","According to several reports, NSO Group spyware has been used to target human rights activists and journalists in various countries, was used for state espionage against Pakistan, for warrantless domestic surveillance of Israeli citizens by Israeli police, and played a role in the murder of Saudi dissident Jamal Khashoggi by agents of the Saudi government.",{'revision_id': 1337168060}
"What legal and regulatory actions involved NSO Group in 2019 and 2021, including lawsuits and US export restrictions?","In 2019, instant messaging company WhatsApp and its parent company Meta Platforms (then known as Facebook) sued NSO under the United States Computer Fraud and Abuse Act. In 2021, Apple filed a lawsuit against NSO in the US, and the US included NSO Group in its Entity List for acting against US national security and foreign policy interests, effectively banning US companies from supplying NSO.",{'revision_id': 1337168060}
Who founded NSO Group in 2010 and when was the first iteration of Pegasus finalised?,"NSO Group was founded in 2010 by Niv Karmi, Shalev Hulio, and Omri Lavie. Hulio and Lavie were school friends who went into the technology start-up sector during the mid-2000s. The pair founded a company - CommuniTake - which offered a tool that let cellphone tech support workers access the customers' devices (but necessitating that the customer grant permission to enable access). After a European intelligence agency expressed interest in the product, the pair realised they could instead develop a tool that could gain access to phones without user authorisation, and market it to security and intelligence agencies. Karmi, who served in military intelligence and the Mossad, was brought on board to help market the tool with the help of his contacts. The first iteration of NSO's Pegasus spyware was finalised in 2011.",{'revision_id': 1337168060}
"According to The New York Times as cited, how did Israel treat Pegasus in relation to its foreign policy and NSO's role?","According to The New York Times, ""Israel's government has long seen Pegasus as a critical tool for its foreign policy."" and that it "" has treated NSO as a de facto arm of the state, granting licenses for Pegasus to numerous countries with which the Israeli government hoped to nurture stronger security and diplomatic ties."".",{'revision_id': 1337168060}
"What did U.S. intelligence officials say about Israel's access to Pegasus-obtained data, and how did NSO respond to claims about being a diplomatic tool and backdoors?","U.S. intelligence officials have also said the Israeli state presumably has backdoor access to data obtained by Pegasus. NSO denies being ""a tool of Israeli diplomacy"", and denies the presence of a backdoor in its spyware tools.",{'revision_id': 1337168060}
What constraint did Israel place on Pegasus regarding targeting American phone numbers in the wake of the Snowden revelations?,"Israel, wary of angering the U.S. in the wake of the Snowden revelations, required NSO to prevent Pegasus from targeting American phone numbers.",{'revision_id': 1337168060}
"Why did the Israeli government block the sale of Pegasus to Estonia and Ukraine, and what happened with Estonia's $30 million down payment?","The Israeli government blocked the sale of Pegasus to Estonia and Ukraine for fear that Israel's relations with Russia would be damaged if the spyware was used against Russia. Israel initially authorised the export of Pegasus to Estonia (which made a $30 million down payment to obtain the system), but after a senior Russian official approached Israeli security agencies and informed them that Russia had learned of Estonia's attempts to obtain Pegasus, the Israeli Ministry of Defense decided to disallow Estonia from using Pegasus against any Russian phone numbers following a heated debate on the issue among Israeli officials, and subsequently blocked the sale.",{'revision_id': 1337168060}
Who headed NSO's start-up investors and what was the investment amount and stake in the company?,"The company's start-up funding came from a group of investors headed by Eddy Shalev, a partner in venture capital fund Genesis Partners which invested a total of $1.8 million for a 30% stake.",{'revision_id': 1337168060}
