input,target,metadata
"When was Constellis, formerly Blackwater, founded and by whom (include date and founder)?","Constellis, formerly Blackwater, is an American private military contractor founded on December 26, 1997, by former Navy SEAL officer Erik Prince.",{'revision_id': 1336339275}
"When was Blackwater renamed to Xe Services and then to Academi, and why (include years and reason)?","It was renamed Xe Services in 2009, and was again renamed to Academi in 2011, after it was acquired by a group of private investors.",{'revision_id': 1336339275}
Since what year has Constellis and its predecessors provided services to the Central Intelligence Agency (include the year)?,"Since 2003, it has provided services to the Central Intelligence Agency.",{'revision_id': 1336339275}
"What occurred in Baghdad in 2007 involving Blackwater that led to widespread notoriety (include year, location, casualties)?","In 2007, Blackwater received widespread notoriety for the Nisour Square massacre in Baghdad, when a group of its employees killed 17 Iraqi civilians and injured 20.",{'revision_id': 1336339275}
"Which four Blackwater employees were pardoned on December 22, 2020, and by which U.S. president (include date and president name)?","Four employees were convicted in the United States and were later pardoned on December 22, 2020, by President Donald Trump.",{'revision_id': 1336339275}
"According to the company's origins as a training center, when was Blackwater USA formed and who were the founders (include date and names)?","Blackwater USA was formed on December 26, 1996, by Al Clark and Erik Prince in North Carolina, to provide training support to military and law enforcement organizations.",{'revision_id': 1336339275}
What land did Erik Prince purchase for training and how did he name his contracting company in relation to that land (include location and naming rationale)?,"Prince purchased approximately 7,000 acres (28 km2) of the Great Dismal Swamp, a vast swamp on the North Carolina–Virginia border that is now mostly a national wildlife refuge. ""We needed 3,000 acres to make it safe,"" Prince told reporter Robert Young Pelton. There he created his private training facility and his contracting company, Blackwater, which he named for the peat-colored water of the swamp.",{'revision_id': 1336339275}
"When did the Blackwater Lodge and Training Center officially open and what were its size, cost, and who headed it (include date, acreage, cost, and head)?","The Blackwater Lodge and Training Center officially opened on May 15, 1998, with a 6,000-acre (2,400 ha), $6.5 million facility headed by Robert Anderson.",{'revision_id': 1336339275}
What claim did Jeremy Scahill make about Jamie Smith's role in Blackwater Security Company and how did Prince and Gary Jackson respond (include names and the nature of the denial)?,"Jeremy Scahill has claimed that Blackwater Security Company (BSC) was the brainchild of Jamie Smith, a former CIA officer who became vice president of Blackwater USA and the founding director of Blackwater Security Company, holding both positions simultaneously. However, this claim is denied by Prince and Blackwater executive Gary Jackson, who describe firing Smith from his position as a low-level administrator for ""non-performance"" after a thirty-day contract.",{'revision_id': 1336339275}
"What was Blackwater Security Company's (BSC) first assignment in relation to the CIA, including numbers and mission (include number of men and target protection)?",BSC's first assignment was to provide twenty men with top-secret clearance to protect the CIA headquarters and another base that was responsible for hunting Osama bin Laden.,{'revision_id': 1336339275}
