input,target,metadata
What did Falun Gong emerge from in 1992 and what practices did it combine according to the 1992 origin statement?,"Falun Gong emerged from the qigong movement in China in 1992, combining meditation, qigong exercises, and moral teachings rooted in Buddhist and Taoist traditions.",{'revision_id': 1338612230}
Which controversial political and social positions is Falun Gong said to hold in the overview of its views?,"Falun Gong is known for its opposition to the Chinese Communist Party (CCP), opposition to homosexuality and feminism, espousing anti-evolutionary views, and rejection of modern medicine, among other views described as ""ultra-conservative"".",{'revision_id': 1338612230}
What large protest by Falun Gong practitioners took place on 25 April 1999 outside the central government compound in Beijing?,"On 25 April 1999, over 10,000 Falun Gong practitioners gathered peacefully outside the central government compound in Beijing, seeking official recognition of the right to practice their faith without interference.",{'revision_id': 1338612230}
What action did the government of China take in July 1999 regarding Falun Gong?,"In July 1999, the government of China implemented a ban on Falun Gong, categorizing it as an ""illegal organization"".",{'revision_id': 1338612230}
What immediate consequences followed the July 1999 ban on Falun Gong according to the account?,"Mass arrests, widespread torture and abuses followed.",{'revision_id': 1338612230}
What did 2008 U.S. government reports estimate about Falun Gong practitioners in Chinese labor camps?,"In 2008, U.S. government reports cited estimates that as much as half of China's labor camp population was made up of Falun Gong practitioners.",{'revision_id': 1338612230}
What death toll estimate did human rights groups provide in 2009 regarding Falun Gong practitioners killed from persecution?,"In 2009, human rights groups estimated that at least 2,000 Falun Gong practitioners had died from persecution by that time.",{'revision_id': 1338612230}
What did the 2022 United States Department of State report state about societal discrimination against Falun Gong practitioners?,"A 2022 United States Department of State report on religious freedom in China stated that ""Falun Gong practitioners reported societal discrimination in employment, housing, and business opportunities"".",{'revision_id': 1338612230}
What range of estimates about Falun Gong practitioner numbers did the same 2022 U.S. State Department report provide regarding pre-1999 and contemporary estimates?,"According to the same report: ""Prior to the government's 1999 ban on Falun Gong, the government estimated there were 70 million adherents. Falun Gong sources claims that tens of millions continue to practice privately, and Freedom House estimates there are between 7 to 20 million practitioners."".",{'revision_id': 1338612230}
How did NBC News describe Li Hongzhi's status to followers and his controversial teachings?,"According to NBC News, to his followers, Li is ""a God-like figure who can levitate, walk through walls and see into the future. His ultra-conservative and controversial teachings include a rejection of modern science, art and medicine, and a denunciation of homosexuality, feminism and general worldliness."".",{'revision_id': 1338612230}
What supernatural and cosmological claims does Li Hongzhi assert about himself and his practices?,"Li asserts that he possesses the ultimate truth of the universe, that he can assume incarnations to protect his followers, and that he can install a spinning wheel of energy in the abdomen of Falun Gong practitioners.",{'revision_id': 1338612230}
What instruction did Li Hongzhi give practitioners regarding how to present his controversial teachings to outsiders?,Li instructs his followers to downplay his controversial teachings when speaking to outsiders.,{'revision_id': 1338612230}
What did Li assert about the scope of Buddhism and Daoism versus Falun Gong teachings?,"Li asserts that the teachings of Buddhism and Daoism are confined to the Milky Way Galaxy, whereas Falun Gong's teachings are of the highest, universe-wide order.",{'revision_id': 1338612230}
What are the three stated tenets of Falun Gong named with Chinese characters and pinyin?,"The three stated tenets of the belief are truthfulness (Chinese: 真; pinyin: Zhēn), compassion (Chinese: 善; pinyin: Shàn), and forbearance (Chinese: 忍; pinyin: Rěn).",{'revision_id': 1338612230}
"According to the description of practice, what two features does Falun Gong practice consist of?","Practice of Falun Gong consists of two features: performance of the exercises, and the refinement of one's xinxing (moral character, temperament).",{'revision_id': 1338612230}
How does Falun Gong describe the accumulation of karma within the body?,"In Falun Gong teachings, karma accumulates as a black substance in the body.",{'revision_id': 1338612230}
"What transformation of substances does Falun Gong teach can occur through cultivating tenets and practicing qigong, and what is the stated goal?","Through cultivating truthfulness, compassion, forbearance and practicing qigong, practitioners can turn the black substance into a white substance, eliminating the root cause of illness and leading to Consummation. (yuanman).",{'revision_id': 1338612230}
What does Falun Gong teach about the original nature of human beings and their descent into suffering?,Falun Gong's teachings posit that human beings are originally and innately good—even divine—but that they descended into a realm of delusion and suffering after developing selfishness and accruing karma.,{'revision_id': 1338612230}
What stance does Falun Gong take toward modern science and traditional Chinese practices according to the beliefs section?,"Falun Gong describes modern science as too limited, and views traditional Chinese research and practice as valid.",{'revision_id': 1338612230}
What did Li Hongzhi write in Zhuan Falun (1995) about the nature of the cosmos and moral standards?,"In Zhuan Falun (转法轮), the foundational text published in 1995, Li Hongzhi writes, ""It doesn't matter how mankind's moral standard changes The nature of the cosmos doesn't change, and it is the only standard for determining who's good and who's bad. So to be a cultivator you have to take the nature of the cosmos as your guide for improving yourself."".",{'revision_id': 1338612230}
How many exercises and what type of meditation does Falun Gong consist of as described in the exercises section?,"In addition to its moral philosophy, Falun Gong consists of four standing exercises and one sitting meditation.",{'revision_id': 1338612230}
What is the Falun Gong exercise called that is performed in the seated lotus position and what is its stated purpose?,"Unlike the first through fourth exercises, the fifth exercise is performed in the seated lotus position. Called ""Reinforcing Supernatural Powers"", it is a meditation intended to be maintained as long as possible.",{'revision_id': 1338612230}
What kinds of supernatural skills does Falun Gong teach practitioners can acquire and by what means?,"Falun Gong's teachings hold that practitioners can acquire supernatural skills through a combination of moral cultivation, meditation and exercises.",{'revision_id': 1338612230}
How does Falun Gong distinguish itself from Buddhist monastic traditions regarding participation in society?,Falun Gong differentiates itself from Buddhist monastic traditions in that it places great importance on participation in the secular world.,{'revision_id': 1338612230}
What statement did Li Hongzhi reportedly make about homosexuality as quoted in the social practices section?,"Li Hongzhi taught that homosexuality makes one ""unworthy of being human"", creates bad karma, and is comparable to organized crime.",{'revision_id': 1338612230}
What does Falun Gong's cosmology reportedly claim about different ethnicities and mixed-race individuals?,"Falun Gong's cosmology includes the belief that different ethnicities each have a correspondence to their own heavens, and that individuals of mixed race lose some aspect of this connection.",{'revision_id': 1338612230}
What was the title and publication date of Li Hongzhi's first book of Falun Gong teachings?,"Li Hongzhi authored the first book of Falun Gong teachings in April 1993; titled China Falun Gong, or simply Falun Gong, it is an introductory text that discusses qigong, Falun Gong's relationship to Buddhism, the principles of cultivation practice, and the improvement of moral character (xinxing).",{'revision_id': 1338612230}
What controversial emblem elements does the Falun symbol reportedly include as described in the symbols section?,"It is conceptualized by an emblem consisting of one large and four small (counter-clockwise) swastika symbols, representing the Buddha, and four small Taiji (yin-yang) symbols of the Daoist tradition.",{'revision_id': 1338612230}
What does Falun Gong teach will occur through the process of 'Fa rectification' regarding good and bad people?,"Through the process of the Fa rectification, life will be reordered according to the moral and spiritual quality of each, with good people being saved and ascending to higher spiritual planes, and bad ones being eliminated or cast down.",{'revision_id': 1338612230}
What did Li Hongzhi in the 1990s claim about extraterrestrials' role in scientific inventions according to the extraterrestrials section?,Li in the 1990s repeated claims that aliens were responsible for scientific inventions through the manipulation of scientists.,{'revision_id': 1338612230}
