input,target,metadata
What did a Brookings Institution study from 2023 reveal about who most often benefits when the government pauses repayment on student loans?,"A Brookings Institution study from 2023 revealed that when the government pauses repayment on student loans, it most often "" benefit affluent borrowers the most "" primarily due to affluent borrowers holding the largest student debt balances.",{'revision_id': 1306546283}
When were federal student loans first offered in the United States and under what act?,Federal student loans were first offered in 1958 under the National Defense Education Act (NDEA).,{'revision_id': 1306546283}
Under which 1960s legislation did student loans become more broadly available with the goal of encouraging greater social mobility and equal opportunity?,"Student loans became more broadly available in the 1960s under the Higher Education Act of 1965, with the goal of encouraging greater social mobility and equal opportunity.",{'revision_id': 1306546283}
Which publicly owned bank made the first federally-insured student loan in 1967?,"In 1967, the publicly owned Bank of North Dakota made the first federally-insured student loan.",{'revision_id': 1306546283}
What was the first major U.S. government loan program formed in 1973 and what was its informal name?,"The US first major government loan program was the Student Loan Marketing Association (Sallie Mae), formed in 1973.",{'revision_id': 1306546283}
What happened to guaranteed student loans in 2010 under the Student Aid and Fiscal Responsibility Act?,Guaranteed loans were eliminated in 2010 through the Student Aid and Fiscal Responsibility Act and replaced with direct loans.,{'revision_id': 1306546283}
Which 2010 law ended private-sector lending under the Federal Family Education Loan Program (FFELP) and when did that change take effect?,"The Health Care and Education Reconciliation Act of 2010 (HCERA) ended private-sector lending under the Federal Family Education Loan Program (FFELP) starting July 1, 2010; all subsidized and unsubsidized Stafford loans, PLUS loans, and Consolidation loans are under the Federal Direct Loan Program.",{'revision_id': 1306546283}
"As of January 1, 2018, how did the Tax Cuts and Jobs Act of 2017 change the tax treatment of debt discharged due to borrower death or disability?","As of January 1, 2018, the Tax Cuts and Jobs Act of 2017 established that debt discharged due to the death or disability of the borrower was no longer treated as taxable income.",{'revision_id': 1306546283}
Which companies began offering student loans and refinancing at lower rates using an alumni-funded model to improve the student loan market?,"In an effort to improve the student loan market, LendKey, SoFi (Social Finance, Inc.) and CommonBond began offering student loans and refinancing at lower rates than traditional lenders, using an alumni-funded model.",{'revision_id': 1306546283}
What did the Federal Reserve Bank of New York report in February 2017 about aggregate student loan debt delinquency?,The Federal Reserve Bank of New York's February 2017 Quarterly Report on Household Debt and Credit reported 11.2% of aggregate student loan debt was 90 or more days delinquent.,{'revision_id': 1306546283}
"What order did Education Secretary Betsy DeVos issue on July 25, 2018 regarding the Borrower Defense Program and what change did it impose for students whose schools closed for fraud before conferring degrees?","On July 25, 2018, Education Secretary Betsy DeVos issued an order declaring that the Borrower Defense Program (enacted in November 2016), would be replaced with a stricter repayment policy, effective July 1, 2019. When a school closes for fraud before conferring degrees, students would have to prove that they were financially harmed.",{'revision_id': 1306546283}
What loan forgiveness did President Donald Trump order in 2019 for permanently disabled veterans and what was the reported impact?,"In 2019, President Donald Trump ordered loan forgiveness for permanently disabled veterans, saving 25,000 veterans an average of $30,000 each.",{'revision_id': 1306546283}
"When did federal student loan borrowers first receive temporary relief from payments during the COVID-19 pandemic, and when did that relief expire?","Starting in March 2020, federal student loan borrowers received temporary relief from student loan payments during the COVID-19 pandemic. This relief was subsequently extended multiple times, and expired at the end of June 2023.",{'revision_id': 1306546283}
What did Education Department repayment data released in December 2021 report about the percentage of borrowers continuing to pay down their loans during the optional deferment?,"According to repayment data released by the Education Department, in December 2021, just 1.2 percent of borrowers were continuing to pay down their loans during the over two years of optional deferment.",{'revision_id': 1306546283}
Which student loan servicers began dropping out of the federal student loan business in 2021 and on what dates?,"In 2021, student loan servicers began dropping out of the federal student loan business, including FedLoan Servicing on July 8, Granite State Management and Resources on July 20, and Navient on September 28.",{'revision_id': 1306546283}
What did the U.S. Second Circuit Court of Appeals rule about private student loans in July 2021?,"In July 2021, the U.S. Second Circuit Court of Appeals ruled that private student loans are dischargeable in bankruptcy, following two other cases.",{'revision_id': 1306546283}
