input,target,metadata
What controversial description of Clearview AI's technology was stated in the company's overview in 2020?,Use of the facial recognition tool has been controversial.,{'revision_id': 1337188731}
Which U.S. actors expressed concern and took legal action against Clearview AI as described in the 2020–2022 period?,Several U.S. senators have expressed concern about privacy rights and the American Civil Liberties Union (ACLU) has sued the company for violating privacy laws on several occasions.,{'revision_id': 1337188731}
What settlement did Clearview reach with the ACLU in 2022 regarding U.S. market sales?,"In 2022, Clearview reached a settlement with the ACLU, in which they agreed to restrict U.S. market sales of facial recognition services to government entities.",{'revision_id': 1337188731}
What did the February 2020 data breach of Clearview AI reveal about customer accounts?,"In 2020, a data breach of Clearview AI demonstrated 2,200 organizations in 27 countries had accounts with facial recognition searches.",{'revision_id': 1337188731}
Which contract with United States Immigration and Customs Enforcement was reported in 2025 involving Clearview AI?,"In 2025, they signed a $9.2 million contract with United States Immigration and Customs Enforcement (ICE).",{'revision_id': 1337188731}
Who were the founders of Clearview AI and when did the company's low profile end according to the history section?,"Founded by Hoan Ton-That, Charles C. Johnson, and Richard Schwartz, the company maintained a low profile until late 2019, when its usage by law enforcement was first reported.",{'revision_id': 1337188731}
How large was Clearview's image database according to the overview claim about its algorithm?,"The company's algorithm matches faces to a database of more than 20 billion images collected from the Internet, including social media applications.",{'revision_id': 1337188731}
What fundraising amount did Clearview AI initially raise and which notable investor was named in that initial round?,The company initially raised $8.4 million from investors including Kirenaga Partners and Peter Thiel.,{'revision_id': 1337188731}
What was the amount collected in Clearview AI's additional 2020 fundraising round?,"Additional fundraising, in 2020, collected $8.625 million in exchange for equity.",{'revision_id': 1337188731}
How much did Clearview AI raise in its 2021 fundraising round according to the history section?,"In 2021, another fundraising round received $30 million.",{'revision_id': 1337188731}
What controversial use of Clearview AI did billionaire John Catsimatidis reportedly make during the Series A fundraising period?,Billionaire John Catsimatidis used it to identify someone his daughter dated and piloted it at one of his Gristedes grocery markets in New York City to identify shoplifters.,{'revision_id': 1337188731}
What valuation claim did a Clearview AI spokesperson make in October 2020?,"In October 2020, a company spokesperson claimed that Clearview AI's valuation was more than $100 million.",{'revision_id': 1337188731}
"As of October 2021, what did Clearview claim about the number of images it had scraped?",The company claimed to have scraped more than 10 billion images as of October 2021.,{'revision_id': 1337188731}
What expansion announcement did Clearview AI make in May 2022 regarding sales targets?,"In May 2022, Clearview AI announced that it would be expanding sales of its facial recognition software to schools and lending platforms outside the U.S.",{'revision_id': 1337188731}
Which First Amendment and privacy legal possibility did Floyd Abrams suggest regarding Clearview's legal defenses?,Abrams stated the issue of privacy rights versus free speech in the First Amendment could reach the Supreme Court.,{'revision_id': 1337188731}
"Who were appointed co-CEOs of Clearview AI on February 19, 2025 following Hoan Ton-That's resignation?","On February 19, 2025, following the resignation of Ton-That in December 2024, Clearview AI appointed Hal Lambert and Richard Swartz as CEOs.",{'revision_id': 1337188731}
"How did Clearview AI operate in secrecy prior to January 2020, and which New York Times report exposed it?","The company operated in near secrecy until the release of an investigative report in The New York Times titled ""The Secretive Company That Might End Privacy as We Know It"" in January 2020.",{'revision_id': 1337188731}
What deceptive measures did Clearview take to maintain secrecy according to the Usage section?,It maintained this secrecy by publishing fake information about the company's location and employees and erasing social media for the founders.,{'revision_id': 1337188731}
What constitutional defense did Hoan Ton-That cite in response to cease-and-desist letters in early February 2020?,Ton-That responded in an interview that there is a First Amendment right to access public data.,{'revision_id': 1337188731}
What later claim did Hoan Ton-That make about the total number of images Clearview had scraped from across the web?,He later stated that Clearview has scraped over 50 billion images from across the web.,{'revision_id': 1337188731}
Which country's police used Clearview in a trial after being approached by Marko Jukic in January 2020?,The New Zealand Police used it in a trial after being approached by Clearview's Marko Jukic in January 2020.,{'revision_id': 1337188731}
What objections arose from the New Zealand Police trial usage of Clearview's software?,"The usage of Clearview's software in this case raised strong objections once exposed, as neither the users' supervisors or the Privacy Commissioner were aware or approved of its use.",{'revision_id': 1337188731}
What did New Zealand Justice Minister Andrew Little say about the unauthorized use of Clearview by police?,"""It clearly wasn't endorsed, from the senior police hierarchy, and it clearly didn't get the endorsement from the Minister  that is a matter of concern."".",{'revision_id': 1337188731}
"How was Clearview's technology used in relation to the May 30, 2020 George Floyd protest in Miami, Florida?","Clearview's technology was used for identifying an individual at a May 30, 2020 George Floyd police violence protest in Miami, Florida.",{'revision_id': 1337188731}
What did Hoan Ton-That say about Clearview's use in the Miami protest case regarding surveillance?,"Ton-That confirmed its use, noting that it was not being used for surveillance, but only to investigate a crime.",{'revision_id': 1337188731}
